City_encoded,City_encoded_AQI_mean,City_encoded_AQI_std,City_encoded_AQI_median,City_encoded_AQI_q25,City_encoded_AQI_q75
0,300.2150323544052,331.8690379046118,229.0,0.0,465.0
1,34.150442477876105,20.31942299120037,23.0,20.0,49.0
2,84.27655099894848,60.9010264116017,74.0,48.0,108.0
3,110.59049959049959,80.5942440374207,97.0,66.0,132.0
4,89.67048282727725,43.95036282269853,84.0,65.0,110.0
5,127.77162629757785,60.53536980718956,118.0,95.0,148.0
6,114.23240938166312,88.79819754746462,108.0,43.25,158.0
7,94.91118421052632,58.02436616818903,82.0,60.0,108.25
8,107.37829766052762,57.42689139651505,96.0,75.0,133.0
9,65.07772020725389,28.44514741414468,72.0,54.25,84.0
10,258.1961174713788,120.63030994797933,257.0,159.0,345.0
11,87.22839506172839,28.37663168840874,93.5,76.25,102.0
12,194.82132221560454,135.4838158613361,176.0,90.5,306.5
13,138.15737051792829,113.16605508460275,95.5,51.0,210.75
14,102.34795613160519,57.8711921090258,102.0,67.0,128.0
15,131.27917414721725,56.67322653886443,121.0,94.0,158.0
16,105.03250641573995,102.1224367762207,105.0,0.0,152.0
17,101.70987654320987,37.33642287735385,98.0,82.25,117.75
18,130.2051597051597,107.0682826252312,86.0,54.0,196.0
19,205.38725734196117,124.40357054136429,187.0,101.0,317.0
20,40.641114982578394,59.1397504359354,0.0,0.0,77.0
21,189.07481162540367,146.7424131295534,163.0,85.0,316.0
22,35.57419354838709,34.39311069477997,33.0,0.0,56.75
23,130.45945945945945,117.62915775911497,110.0,15.0,182.0
24,71.7841726618705,32.51086090682088,66.0,55.0,87.0
25,93.9281805745554,67.87409055770198,96.0,55.0,124.0
